open,close,volume,daily_return,volatility,return,category_encoded,ticker_encoded,risk_level_encoded,knowledge_level_encoded
0.0005884596513560038,0.0005885404340021851,0.0008741010369778165,0.49841095048205225,0.16413835338714988,0.0,3,5,2,2
6.533047727724979e-05,6.64783313393735e-05,4.00202867891461e-06,0.5029945246352814,0.00988685942540218,0.0008646810450670306,3,14,1,1
0.3045803286057964,0.30213774524341297,0.07221352289354978,0.45564160679219945,0.10322023103837426,-0.008068341334135342,4,0,2,2
0.16028403447125109,0.16019910891884317,0.008538155497303895,0.49519309276858714,0.08580375018698848,-0.0006070416835289586,0,1,1,1
0.24639448763660182,0.2437837258727389,0.04144200806188349,0.44209298662289825,0.11065556739418773,-0.010624258322836007,4,2,2,2
0.11848696027883336,0.11846398605757774,0.007294838977090619,0.49696380762829373,0.10964913505466659,-0.00027300027300041266,0,3,2,2
0.11621573537158313,0.1157186843188571,0.000829277909365565,0.4755464155616743,0.09513037207327397,-0.004313343536941731,2,4,1,1
0.0005856655545276599,0.0005857461090181299,3.825886128442559e-05,0.49841095048205225,0.09451705963228267,0.0,3,5,1,1
0.3115900966377047,0.3104390147866874,0.005273771156667885,0.4784744864369908,0.08950823382032765,-0.00376096949435854,1,6,1,1
0.22516917192945704,0.22456663004277597,0.020756659939856096,0.4838722566974279,0.03957808157540302,-0.002742692168892269,4,7,1,1
0.022932116698982312,0.023342549027262214,0.00024701497626188296,0.5880740809508391,0.18978793785303177,0.016914749661705007,1,8,3,3
0.12481044257455877,0.12482066686925834,0.03637112911523418,0.49841095048205225,0.17957330177008254,0.0,2,9,3,3
0.7739395765249518,0.7748035520160147,0.004537953993423795,0.5038863707315546,0.17846775964084163,0.001032925822785147,2,10,3,3
0.6096597548163638,0.6048236030191447,0.022111333917731058,0.4560164942890586,0.1984714374536572,-0.00799761964365317,4,11,3,3
0.07924542260076047,0.0774936258235274,0.36003166735409997,0.38258462690787876,0.30257346987116823,-0.02185037771099018,4,12,3,3
0.407406379446052,0.40472705664631986,0.09161834779763889,0.46322429651093217,0.19463258121877838,-0.006637883824073306,4,13,3,3
6.668249334721744e-05,7.658256145847081e-05,9.565582620684357e-05,0.5390990212178004,0.23631407538645058,0.007675713831478462,3,14,3,3
0.2289028205807634,0.23074355895489748,0.00010762046132828269,0.5403780221349248,0.2658722507551439,0.007916994503000194,3,15,3,3
0.10917330418435403,0.10625719796933764,0.0069222467288137775,0.35796419427670423,0.34451917908449226,-0.026494967436352962,1,16,3,3
0.7077799550988279,0.7080012097071451,0.00794424905644156,0.49963272789251567,0.3040065528744837,0.00023048558456822263,2,17,3,3
0.29979279891803085,0.2998663348762572,0.05113772330833754,0.49927419295409353,0.302825230813983,0.00016284876777766333,4,0,3,3
0.15964678431741827,0.16028081432773367,0.008755004886162385,0.5188714484389801,0.29055334378082537,0.003859827323514428,0,1,3,3
0.24257100305335258,0.24139794427421818,0.04326828787656939,0.47247498855497677,0.2601404939215698,-0.004892761394101808,4,2,3,3
0.1180784698584285,0.11856203254824635,0.005669125149435322,0.5194662277780684,0.07499687798040539,0.003972031119790917,0,3,1,1
0.11441836314282396,0.11449310318549966,0.0007561776914823031,0.5014070698961065,0.07484577045880848,0.0005652112477039177,2,4,1,1
0.0005698258032680317,0.0005699050643424408,3.035888308205054e-05,0.49841095048205225,0.07500046437094972,0.0,3,5,1,1
0.3072273840460802,0.3078407827839696,0.007581461867329899,0.5085201751384765,0.06773177036055407,0.0019070826932244807,1,6,1,1
0.22304500475001438,0.2257922111761334,0.021195173701984548,0.5629098702375018,0.10398914760449011,0.012167577413478962,4,7,2,2
0.023340610387336667,0.023407913354374612,0.00014852665875449424,0.5125184269246732,0.10438062131616882,0.00266134397870931,1,8,2,2
0.12414051292565763,0.12447750415191826,0.03457505238458388,0.5122297311736965,0.09967104992560975,0.0026068821689260017,2,9,1,1
0.771096476793753,0.7684632122861121,0.005247857786017052,0.4799063043471424,0.11876602202770115,-0.0034908602378030773,2,10,2,2
0.6017350099417844,0.6043824101522178,0.020207138900750425,0.5212515395342847,0.11806793446832768,0.004308826202302682,4,11,2,2
0.0763712610094992,0.07651479502501926,0.2809276016355877,0.5077881070358787,0.06102081296057486,0.0017689796777930543,4,12,1,1
0.3990731049356736,0.3884349981135549,0.10600061868953564,0.3571146230073814,0.27427825188552435,-0.026655237162217328,4,13,3,3
7.671508199345281e-05,7.226849952797097e-05,0.00010629573920174663,0.4800478105038196,0.2625995751964235,-0.0034641654168296064,3,14,3,3
0.23072468609107627,0.23285972904516133,0.00012112748616181708,0.5467705498758008,0.29924084116234434,0.00912293060936961,3,15,3,3
0.10812756034216688,0.11021173975963765,0.006246573098127532,0.5990105175338996,0.3663967920425326,0.018977884040645487,1,16,3,3
0.7051819515806417,0.702739381374597,0.004205194798005497,0.4796508821285851,0.36690731963490186,-0.003539045069877819,2,17,3,3
0.29641045483870926,0.296042521740182,0.0630168151224665,0.49142682044310565,0.210602326026719,-0.001317540560941046,4,0,3,3
0.15959776507481577,0.1596271710566097,0.008662644730633233,0.4989495487622105,0.19858227810112422,0.00010160536476331147,0,1,3,3
0.2366723541935157,0.23502493872184127,0.04905878812980602,0.46127344825018,0.21645239779578807,-0.00700590699910713,4,2,3,3
0.1179967678528081,0.11802277684956908,0.00442572108405093,0.4991374971203907,0.061860892366323986,0.00013706140350884207,0,3,1,1
0.11425496566748222,0.11418262263171577,0.0006534872057612659,0.4946605017249316,0.06144480297293414,-0.0007075137965189919,2,4,1,1
